name,addr:city,addr:street,website,opening_hours,fhrs:rating,@lat,@lon,@user
,,,,,,51.5137016,-0.1394579,Mikhail1412
the Slug and Lettuce,London,Lisle Street,,,4,51.511278,-0.1313631,will_p2
,,,,,,51.5134416,-0.129699,Derick Rethans
,,,,,,51.5135209,-0.1294479,Derick Rethans
,,,,,,51.5145505,-0.1311015,Mikhail1412
The Flying Horse,,,,Mo-Sa 11:00-23:00; Su 12:00-22:30,,51.5165109,-0.1307587,spiregrain
,,,,,,51.5138365,-0.1350605,Mikhail1412
,,,,,,51.5140425,-0.1342915,Mikhail1412
,,,,,,51.5123402,-0.1330222,Mikhail1412
,,,,,,51.5118867,-0.134768,Mikhail1412
,,,,,,51.511823,-0.1281127,Derick Rethans
,,,,,,51.5149055,-0.1334187,Mikhail1412
,,,,,,51.5149215,-0.1351856,Paul The Archivist
,,,,,,51.5148695,-0.137356,Paul The Archivist
,,,,,,51.5128689,-0.1321922,Mikhail1412
,,,,,,51.5132212,-0.1366194,Paul The Archivist
,,,,,,51.5096677,-0.1258463,Paul The Archivist
,,,,,,51.5116825,-0.1256615,Paul The Archivist
The Windmill,,Mill Street,https://www.youngs.co.uk/,,,51.5124213,-0.1422011,b-jazz-bot
The Crown and Anchor,London,Neal Street,,,,51.5139755,-0.1249853,Paul The Archivist
The Adam & Eve,,Wells Street,https://www.theadamandevew1.co.uk/,,,51.5165073,-0.1373884,Mikhail1412
The Langley,,,,,,51.5132372,-0.1248695,Harry Wood
,,,,,,51.5160108,-0.1437063,Paul The Archivist
The Retro Bar,London,George Court,https://www.retrobarlondon.co.uk/,Mo-Fr 12:00-23:00; Sa 14:00-23:00; Su 14:00-22:30,5,51.5091024,-0.1235665,MacLondon
The White Swan,London,New Row,,,5,51.5111062,-0.1255283,will_p2
,,,,,,51.5151729,-0.1232488,Paul The Archivist
,,,,,,51.5161285,-0.1242191,Paul The Archivist
,,,,,,51.5155214,-0.1277437,JozefM
Craft Beer Co.,London,High Holborn,http://thecraftbeerco.com/pubs/coventgarden/,Su-We 12:00-00:00;Th-Sa 12:00-01:00,,51.515637,-0.125979,Paul The Archivist
The Moon Under Water,London,Leicester Square,,,5,51.5102692,-0.1293371,MacLondon
Waxy's Little Sister,,,,,,51.511115,-0.131813,nyuriks
O'Neills,,Wardour Street,,,,51.5114086,-0.1322765,zurbzurbzurb
,,,,,,51.510999,-0.1269169,Derick Rethans
White Horse,,,,,,51.51186,-0.133452,Mikhail1412
,,,,,,51.5150769,-0.1331568,Mikhail1412
,,,,,,51.5145509,-0.1247367,Paul The Archivist
De Hems Cafe Bar,London,Macclesfield Street,https://www.nicholsonspubs.co.uk/dehemsdutchcafebarsoholondon/,Mo-Th 10:00-24:00; Fr-Sa 0:00-0:30; Fr-Sa 10:00-24:00; Su 10:00-23:00,5,51.5121005,-0.1313062,Edward
,,,,,,51.5140275,-0.1318521,Mikhail1412
Green Man,,Berwick Street,https://thegreenmansoho.co.uk,Mo-Th 09:00-23:00; Fr 09:00-01:00; Sa 09:00-00:00; Su 09:00-22:30,,51.5155449,-0.1366581,MacLondon
Bradley's Spanish Bar,,,,,,51.5165329,-0.1326779,Mikhail1412
,,,,,,51.5096076,-0.1265109,Derick Rethans
,,,,,,51.5098053,-0.1255478,Paul The Archivist
,,,,,,51.5137957,-0.1324576,Mikhail1412
,,,,,,51.5140462,-0.1296856,Mikhail1412
,,,,,,51.5087773,-0.14128,Paul The Archivist
The Leicester Arms,,Glasshouse Street,,,,51.510566,-0.1376134,Mikhail1412
The Crown,,,,,,51.5111757,-0.1363142,IliasMur
,,,,,,51.5127138,-0.1365701,Paul The Archivist
,,,,,,51.5125561,-0.1372715,Paul The Archivist
,,,,,,51.5133421,-0.1284257,Paul The Archivist
,,,,,,51.5132819,-0.1285289,Paul The Archivist
,,,,,,51.512547,-0.131616,Paul The Archivist
The Argyll Arms,,Argyll Street,,,,51.5150632,-0.141263,Martin Constantino–Bodin
,,,,,,51.5136712,-0.1394579,Mikhail1412
,,,,,,51.5108336,-0.1324219,lamacchiacosta
Royal George,London,Charing Cross Road,https://www.theroyalgeorgewc2.co.uk/,,,51.5151393,-0.130809,MacLondon
,,,,,,51.5159822,-0.143115,Paul The Archivist
,,,,,,51.5161712,-0.1435553,Harry Wood
,,,,,,51.5135232,-0.1403537,Paul The Archivist
,,,,,,51.5133826,-0.127168,Paul The Archivist
,,,,,,51.5128385,-0.1394546,Paul The Archivist
,,,,,,51.5126897,-0.1317295,Paul The Archivist
Tom Cribb,,Panton Street,,,,51.5095922,-0.1317508,MacLondon
,,,,,,51.5141731,-0.1393296,Paul The Archivist
,,,,,,51.5140521,-0.1393521,Paul The Archivist
,,,,,,51.5133344,-0.1365663,Paul The Archivist
Brewmaster,,,,,,51.5113231,-0.1281015,Lidistan
Round Table,,,,,,51.5109133,-0.1280618,Lidistan
,,,,,,51.5134533,-0.1299611,Derick Rethans
,,,,,,51.5151056,-0.1372857,Paul The Archivist
,,,,,,51.5148894,-0.1372806,Paul The Archivist
,,,,,,51.5150074,-0.1373583,Paul The Archivist
,,,,,,51.5110204,-0.1267457,Derick Rethans
,,,,,,51.5088453,-0.1239981,Derick Rethans
,,,,,,51.5088179,-0.1237805,Paul The Archivist
,,,,,,51.5088981,-0.1238972,Derick Rethans
,,,,,,51.5087601,-0.1239287,Paul The Archivist
,,,,,,51.5088264,-0.1240285,Paul The Archivist
,,,,,,51.5102848,-0.1281282,Derick Rethans
