name,addr:street,source,wheelchair
Royal Society of Chemistry,,local_knowledge,
Everwell Chinese Medical Centre,Charing Cross Road,,
,Silver Place,,
NASUWT,,,
Seth Lovis & Co Solicitors,,,
CBN London LTD,,,yes
Charing Cross (Exit 1),,,
A4e,,,
Resilient plc,,,
Acanchi,,,no
Catch,,photograph,
Ebiquity,,photograph,
Farpoint,,photograph,
Mikros Animation,Wardour Street,,
,,photograph,
,,photograph,
Data Know How,,,
GHD,,,
Misan,,,
Soho Management + Media,,,
Sweet Images,,,
Trident Sound Studios Ltd,,,
Alumno,,,
Internap,,,
MGV,,,
One Chocolate Communications,,,
The Village Communications,,,
Blue Plaque: John Christopher Smith,,,
De Pinna Notaries,,,
L.S.G. Solicitors,,,
Mozilla London,,,
London Beauty Institute,Neal Street,survey; Bing 2012,
Workpad,Lexington Street,,no
Sony Pictures,Golden Square,,
Cognis Capital,,,
Doherty Baines,,,
Michaeljohn Group Ltd,,,
Saker Estates Ltd,,,
Flight Centre,,,yes
Akelius,,,
ThoughtWorks,Wardour Street,,
Hardy Amies,Savile Row,,
Loco,Bateman's Buildings,,
Strategy Analytics,Frith Street,,
Sparrow and Trieu Solicitors,Shaftesbury Avenue,,
Bain & Company,Strand,,
Badoo HQ,Sheraton Street,,
WeWork,Great Chapel Street,,
Pontegadea UK,Hills Place,,
3DReid,Hills Place,,
Jackson Cass,Hills Place,,
Innovation Norway,Hills Place,,
Dalton Holmes Gray,,,
Clockwork,D'Arblay Street,,
ChilliBean,D'Arblay Street,,
Maypay Ltd,Berwick Street,,
J.S. Property Management,Berwick Street,,
Tsedoko Ltd,Berwick Street,,
Accounting Direct,,,
,,,no
Lewis Creative Digital Commerce,,,
Shed,,,
DBD Media,D'Arblay Street,,no
Joseph Haydn,,,
18 feet and rising,,,
Sutherland Labs,,,
NDP,,,
Soho Broadcast,,,
Hamilton Mayday,Great Chapel Street,,
Thomas & Thomas Partners LLP,,,
Electric ray,Golden Square,,
Greater London Properties,Broadwick Street,,
Regent Hall Homelessness Services,,,
Boston Consulting Group,Broadwick Street,,
McKinsey & Company,Jermyn Street,,
Westkin Associates,Maddox Street,,
Richard Dadd,,,
Smoke and Mirrors,,Bing;photograph,
Brook Street,Strand,,
Embassy of the Republic de Cuba,High Holborn,,
Embassy of Belgium Flemish Representation,Cavendish Square,,
Lipsync,Wardour Street,,
Hearst Magazines UK,Broadwick Street,,
Technicolor,Lexington Street,,
Pearson,High Holborn,Bing;survey,
Embassy of Zimbabwe,Strand,,
Kameleon,Dryden Street,Bing;survey,
,Suffolk Street,Bing,
DigitalVision,,Bing;photographic_survey,
King,Wardour Street,photograph,
Condé Nast,Hanover Square,Bing;survey,
Hearst Magazines UK,Broadwick Street,photograph,
Samaritans,,Bing;photograph,
Studiocanal,,photograph,
Method Studios,,photograph,
The White House,Meard Street,,
Christine Lee & Co Solicitors,Wardour Street,Bing;photograph,
Delicious Edit,,Bing;photograph,
FilmLight,Manette Street,Bing;photograph,
The House of St Barnabas,Greek Street,Bing;photograph,
Simons Muirhead & Burton,Frith Street,Bing;photograph,
Hackenbacker,Bateman Street,photograph,
Codex Digital Ltd.,Poland Street,,
The 7 Stars,Dean Street,Bing;photograph,
Hall & Partners,Dean Street,,
Lipsync,Dean Street,Bing;photograph,
Private Eye Magazine,Carlisle Street,photograph,
Private Eye,Carlisle Street,Bing;photograph,
Sunrider,,Bing,
MPL Communications,Soho Square,Bing,
Dolby Europe Ltd,Soho Square,Bing,
Malta High Commission,Piccadilly,,yes
Mini Cabs,Frith Street,,
,Bedfordbury,,
Morgan Lovell,,,
Felt,,,
Soho Digital Cinema,,,
Absolute,,Bing;photograph,
Supreme,,,
Supermicro UK,,,
Lip Sync,,,
Vivid Rental,,,
Fifty Fifty,D'Arblay Street,Bing;photograph,
Shilland & Co,Poland Street,,
Reflex,Poland Street,Bing,
Creston Unlimited,Great Pulteney Street,,
Feref,,,
Design Studio,Beak Street,,
Chamberlain de Broe,,,
The Poetry Society,,,
,Soho Square,,
Drury Estates,,,
Equity,,,
Chestertons,,,
Embassy of Mexico,St George Street,,
Facebook Building 125,,Bing;photographic_survey,
